Source,Target,Label,ID,Type,Weight
21,25,'jati',,,
7,25,'jati',,,
4,28,'jati',,,
12,25,'jati',,,
9,26,'jati',,,
16,27,'jati',,,
22,27,'jati',,,
23,25,'jati',,,
10,27,'jati',,,
3,[],'jati',,,
1,27,'jati',,,
6,27,'jati',,,
5,27,'jati',,,
20,26,'jati',,,
14,25,'jati',,,
13,25,'jati',,,
2,25,'jati',,,
8,25,'jati',,,
17,25,'jati',,,
15,27,'jati',,,
11,25,'jati',,,
19,25,'jati',,,
18,[],'jati',,,
24,[],'jati',,,
21,91,'numberOfMatras',,,
7,87,'numberOfMatras',,,
4,81,'numberOfMatras',,,
12,83,'numberOfMatras',,,
9,85,'numberOfMatras',,,
16,82,'numberOfMatras',,,
22,82,'numberOfMatras',,,
23,91,'numberOfMatras',,,
10,89,'numberOfMatras',,,
3,87,'numberOfMatras',,,
1,89,'numberOfMatras',,,
6,89,'numberOfMatras',,,
5,89,'numberOfMatras',,,
20,85,'numberOfMatras',,,
14,91,'numberOfMatras',,,
13,93,'numberOfMatras',,,
2,83,'numberOfMatras',,,
8,90,'numberOfMatras',,,
17,90,'numberOfMatras',,,
15,82,'numberOfMatras',,,
11,83,'numberOfMatras',,,
19,85,'numberOfMatras',,,
18,92,'numberOfMatras',,,
24,90,'numberOfMatras',,,
21,76,'Sam',,,
7,76,'Sam',,,
4,76,'Sam',,,
12,76,'Sam',,,
9,76,'Sam',,,
16,[],'Sam',,,
22,76,'Sam',,,
23,76,'Sam',,,
10,76,'Sam',,,
3,76,'Sam',,,
1,76,'Sam',,,
6,76,'Sam',,,
5,76,'Sam',,,
20,76,'Sam',,,
14,76,'Sam',,,
13,76,'Sam',,,
2,76,'Sam',,,
8,76,'Sam',,,
17,76,'Sam',,,
15,76,'Sam',,,
11,76,'Sam',,,
19,76,'Sam',,,
18,76,'Sam',,,
24,76,'Sam',,,
21,38,'bol',,,
7,45,'bol',,,
4,38,'bol',,,
12,38,'bol',,,
9,43,'bol',,,
16,67,'bol',,,
22,38,'bol',,,
23,38,'bol',,,
10,45,'bol',,,
3,38,'bol',,,
1,45,'bol',,,
6,54,'bol',,,
5,38,'bol',,,
20,38,'bol',,,
14,38,'bol',,,
13,38,'bol',,,
2,39,'bol',,,
8,38,'bol',,,
17,43,'bol',,,
15,73,'bol',,,
11,38,'bol',,,
19,45,'bol',,,
18,38,'bol',,,
24,38,'bol',,,
21,45,'bol',,,
7,45,'bol',,,
4,43,'bol',,,
12,53,'bol',,,
9,58,'bol',,,
16,67,'bol',,,
22,49,'bol',,,
23,71,'bol',,,
10,30,'bol',,,
3,38,'bol',,,
1,71,'bol',,,
6,43,'bol',,,
5,45,'bol',,,
20,38,'bol',,,
14,31,'bol',,,
13,29,'bol',,,
2,33,'bol',,,
8,45,'bol',,,
17,58,'bol',,,
15,45,'bol',,,
11,55,'bol',,,
19,45,'bol',,,
18,73,'bol',,,
24,64,'bol',,,
21,45,'bol',,,
7,40,'bol',,,
4,58,'bol',,,
12,58,'bol',,,
9,43,'bol',,,
16,58,'bol',,,
22,62,'bol',,,
23,45,'bol',,,
10,71,'bol',,,
3,49,'bol',,,
1,43,'bol',,,
6,62,'bol',,,
5,29,'bol',,,
20,49,'bol',,,
14,32,'bol',,,
13,43,'bol',,,
2,39,'bol',,,
8,61,'bol',,,
17,44,'bol',,,
15,29,'bol',,,
11,38,'bol',,,
19,38,'bol',,,
18,45,'bol',,,
24,43,'bol',,,
21,38,'bol',,,
7,71,'bol',,,
4,38,'bol',,,
12,67,'bol',,,
9,43,'bol',,,
16,43,'bol',,,
22,72,'bol',,,
