ID,Type,Label
1,'taal','Adachautaal'
2,'taal','Addha'
3,'taal','Chautaal'
4,'taal','Dadra'
5,'taal','Deepchandi'
6,'taal','Dhamar'
7,'taal','Ektal'
8,'taal','Gajjhampa'
9,'taal','Jhaptaal'
10,'taal','Jhoomra'
11,'taal','Kavvali'
12,'taal','Keherwa'
13,'taal','Matta'
14,'taal','Panjabi'
15,'taal','Pashto'
16,'taal','Rupak'
17,'taal','Savari'
18,'taal','Shikhar'
19,'taal','Shulfakta'
20,'taal','Sooltaal'
21,'taal','Teentaal'
22,'taal','Teevra'
23,'taal','Tilvada'
24,'taal','Yatishekhar'
25,'jati','Chatusra'
26,'jati','Khand'
27,'jati','Misra'
28,'jati','Teesra'
29,'bol','S'
30,'bol','Sdha'
31,'bol','Sdhi'
32,'bol','Ska'
33,'bol','Sna'
34,'bol','Sta'
35,'bol','Sti'
36,'bol','da'
37,'bol','dh'
38,'bol','dha'
39,'bol','dhadhi'
40,'bol','dhage'
41,'bol','dhagi'
42,'bol','dhet'
43,'bol','dhi'
44,'bol','dhidhi'
45,'bol','dhin'
46,'bol','dhina'
47,'bol','dhum'
48,'bol','di'
49,'bol','din'
50,'bol','ga'
51,'bol','gadi'
52,'bol','gana'
53,'bol','ge'
54,'bol','ka'
55,'bol','kat'
56,'bol','katta'
57,'bol','kit'
58,'bol','na'
59,'bol','nadha'
60,'bol','nadhi'
61,'bol','nak'
62,'bol','ta'
63,'bol','tak'
64,'bol','tat'
65,'bol','tati'
66,'bol','thun'
67,'bol','ti'
68,'bol','tiSkd'
69,'bol','tin'
70,'bol','tina'
71,'bol','tirkit'
72,'bol','tit'
73,'bol','trak'
74,'bol','tu'
75,'bol','tuna'
76,'matra','1'
77,'matra','2'
78,'matra','3'
79,'matra','4'
80,'matra','5'
81,'matra','6'
82,'matra','7'
83,'matra','8'
84,'matra','9'
85,'matra','10'
86,'matra','11'
87,'matra','12'
88,'matra','13'
89,'matra','14'
90,'matra','15'
91,'matra','16'
92,'matra','17'
93,'matra','18'
94,'matra','19'
95,'matra','20'
96,'matra','21'
97,'matra','22'
